article_id,author1,year,title,source_type,db_tier,reco_folder,reco_filename,reco_folder,reco_filename
ART-0735,Langan,2017,recognition and management,AFP,local_lite,RECO_local_lite,Langan_Goodbred_2017#@#ART-0735@#@.pdf,RECO_local_lite,Langan_Goodbred_2017#@#ART-0735@#@.pdf
ART-0737,Langan,2020,Office spirometry: Indications and interpretation,AFP,right_click,RECO_right_click,Langan_Goodbred_2020#@#ART-0737@#@.pdf,RECO_right_click,Langan_Goodbred_2020#@#ART-0737@#@.pdf
ART-0738,Lanham,2020,Outpatient burn care: Prevention and treatment,AFP,local_lite,RECO_local_lite,Lanham_Nelson_2020#@#ART-0738@#@.pdf,RECO_local_lite,Lanham_Nelson_2020#@#ART-0738@#@.pdf
ART-0742,Larson,2020,Muscle weakness in adults: Evaluation and differential diagnosis,AFP,local_lite,RECO_local_lite,Larson_Wilbur_2020#@#ART-0742@#@.pdf,RECO_local_lite,Larson_Wilbur_2020#@#ART-0742@#@.pdf
ART-0743,Latimer,2023,evaluation and management,AFP,local_lite,RECO_local_lite,Latimer_Gunther_2023#@#ART-0743@#@.pdf,RECO_local_lite,Latimer_Gunther_2023#@#ART-0743@#@.pdf
ART-0747,LeFevre,2018,Vitamin D screening and supplementation in community-dwelling adults: Common que,AFP,local_lite,RECO_local_lite,LeFevre_LeFevre_2018#@#ART-0747@#@.pdf,RECO_local_lite,LeFevre_LeFevre_2018#@#ART-0747@#@.pdf
ART-0762,Lesnewski,2021,Initiating hormonal contraception,AFP,local_lite,RECO_local_lite,Lesnewski_2021#@#ART-0762@#@.pdf,RECO_local_lite,Lesnewski_2021#@#ART-0762@#@.pdf
ART-0770,Lillig,2018,Conduct disorder: Recognition and management,AFP,local_lite,RECO_local_lite,Lillig_2018#@#ART-0770@#@.pdf,RECO_local_lite,Lillig_2018#@#ART-0770@#@.pdf
ART-0776,Lip,2018,Antithrombotic therapy for atrial fibrillation: CHEST guideline and expert panel,Chest,right_click,RECO_right_click,Lip_Banerjee_2018#@#ART-0776@#@.pdf,RECO_right_click,Lip_Banerjee_2018#@#ART-0776@#@.pdf
ART-0779,Lipsky,2019,e3280,Other Journal,local_lite,RECO_local_lite,Lipsky_Senneville_2019#@#ART-0779@#@.pdf,RECO_local_lite,Lipsky_Senneville_2019#@#ART-0779@#@.pdf
